zone,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,2.238348526075878e10,8.555420795722425e9,3.9424885791752887e8,1.083188092916095e10,6.762564104889702e6,0.0,0.0,4.217179840766458e10
Region2Tianjin,3.888464900677789e9,4.84061565718378e9,2.993600701363829e8,8.13337154972886e9,1.3672862089546708e7,0.0,0.0,1.7175485039816357e10
Region12Anhui,1.0029603562934628e11,3.4861100272166245e10,3.2284577180897837e9,9.352272149091832e10,1.0572544583787391e7,0.0,0.0,2.3191888765510443e11
Region9Shanghai,5.976661273310859e10,2.3800587409923634e10,8.185928253118781e9,4.7557071170328735e10,4.682546484589178e8,0.0,0.0,1.3977845421493866e11
Region22Chongqing,3.548593825629155e10,1.5478675865205605e10,1.6157680988898766e9,4.3255686528882164e10,7.324574146204733e6,0.0,0.0,9.58433933234154e10
Region13Fujian,3.498258533133686e10,4.160742829476034e10,5.361417513115121e9,9.149386342175516e10,1.435074328911609e7,0.0,0.0,1.734596453042566e11
Region28Gansu,1.658887432761275e11,7.582464713867688e10,1.274850479022003e9,2.3239415321436375e10,8.625202616176572e6,0.0,0.0,2.6623628141787894e11
Region19Guangdong,1.416891770073223e11,5.612196368180303e10,1.2273707935813871e10,1.8797543478982352e11,4.091821771888125e8,0.0,0.0,3.9846946559195154e11
Region20Guangxi,1.288997084621996e11,4.686084745128385e10,3.577361341750777e9,9.29935847424543e10,8.330577600166389e6,0.0,0.0,2.723398325752887e11
Region24Guizhou,2.6066410230298466e10,3.919595273166606e10,2.78365583185362e9,6.770813811924709e10,6.88577633758027e6,0.0,0.0,1.3576104268940283e11
Region21Hainan,1.0895346470222654e10,8.393975358087829e9,1.376727463399995e9,2.354577447119212e10,1.6872311724491638e8,0.0,0.0,4.4380546880147514e10
Region3Hebei,1.754431759503264e11,7.111951939071959e10,2.751802146655446e9,1.2067639469324068e11,3.760512699160335e7,0.0,0.0,3.7002849730793365e11
Region8Heilongjiang,4.369754812652967e10,2.6381407244889515e10,5.54998230262115e8,5.040822187065151e10,6.007396730799627e6,0.0,0.0,1.2104818286906363e11
Region16Henan,5.400770458821252e9,1.0550245261573002e10,2.707509114497451e9,9.20594748668151e10,1.0692912155124912e7,0.0,0.0,1.1072869261386192e11
Region17Hubei,7.779404906422365e10,2.547619482185134e10,2.199232337100026e9,8.25754772401647e10,9.338575739152433e6,0.0,0.0,1.880542920390789e11
Region18Hunan,1.813887681598146e10,2.5816153752653183e10,2.786183967539142e9,8.250472134286234e10,6.993667838020309e6,0.0,0.0,1.2925292954687413e11
Region5Innermongolia,3.4968126302176e11,1.3229423536210957e11,1.652614064017754e9,4.499462518990604e10,7.460590814226358e8,0.0,0.0,5.2936879671921594e11
Region10Jiangsu,1.7412774370423907e11,4.7011532516946655e10,4.836329559904105e9,1.5720081632483664e11,6.09716432859126e7,0.0,0.0,3.832373937492124e11
Region14Jiangxi,1.2228705140479755e10,1.9195992150138687e10,2.3866546574986815e9,7.34975863442405e10,6.739706836479626e6,0.0,0.0,1.073156779991941e11
Region7Jilin,4.909076078214496e10,2.7222460231994465e10,5.701730873234452e8,4.233073605977071e10,6.066775315558121e6,0.0,0.0,1.1922019693654913e11
Region6Liaoning,7.571943042887097e9,2.6979307371753643e10,1.8582229901063218e9,5.507643417504094e10,7.64817793117492e6,0.0,0.0,9.149355575771916e10
Region30Ningxia,6.305910855656618e10,2.1922735860725582e10,6.179000474408834e8,1.4107257935441908e10,2.8625481250631616e7,0.0,0.0,9.973562788142519e10
Region29Qinghai,8.251132537612032e10,1.7568777733430458e10,8.63449643876387e7,3.536567305707464e9,1.0562156321119895e7,0.0,0.0,1.03713577535967e11
Region27Shaanxi,1.493311414217692e10,3.5992442423683e10,1.744184484754485e9,5.450816769550507e10,3.2612114625128705e7,0.0,0.0,1.072105208607446e11
Region15Shandong,2.1619328050784473e11,6.6993990431672516e10,3.9983248191907854e9,1.1685316327102956e11,1.0822372588155324e7,0.0,0.0,4.040495814023257e11
Region4Shanxi,8.288116610763847e10,1.9527527624023483e10,1.500183617727144e9,4.7034650257603264e10,3.849023388846467e8,0.0,0.0,1.51328429945877e11
